
2024/02/17 (12:08:55) | ===> btop++ v.1.2.13
2024/02/17 (12:08:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/17 (12:09:05) | ===> btop++ v.1.2.13
2024/02/17 (12:09:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/17 (12:09:12) | ===> btop++ v.1.2.13
2024/02/17 (12:09:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/17 (16:00:38) | ===> btop++ v.1.2.13
2024/02/17 (16:00:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/17 (22:42:29) | ===> btop++ v.1.2.13
2024/02/17 (22:42:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/18 (03:25:53) | ===> btop++ v.1.2.13
2024/02/18 (03:25:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/19 (16:27:05) | ===> btop++ v.1.2.13
2024/02/19 (16:27:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/19 (16:27:11) | ===> btop++ v.1.2.13
2024/02/19 (16:27:11) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/19 (16:27:18) | ===> btop++ v.1.2.13
2024/02/19 (16:27:18) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/19 (21:37:28) | ===> btop++ v.1.2.13
2024/02/19 (21:37:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/27 (00:17:22) | ===> btop++ v.1.2.13
2024/02/27 (00:17:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/28 (22:55:33) | ===> btop++ v.1.2.13
2024/02/28 (22:55:33) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
